Country,HAP.SCORE,EXP.GDP.PER.CAPITA,EXP.SOC.SUPP,EXP.HEAL.LIFE,EXP.FREE.LIFE,EXP.GEN,EXP.TRUST
Finland,"7,808700085","1,285189509","1,499525905","0,9612714052","0,6623167396","0,1596704423","0,4778572619"
Denmark,"7,645599842","1,326948524","1,503449202","0,9793325663","0,665039897","0,2427933961","0,4952603281"
Switzerland,"7,559899807","1,39077425","1,472403407","1,040533185","0,6289544702","0,2690557539","0,4079459012"
Iceland,"7,504499912","1,326501608","1,547567487","1,000843406","0,6619807482","0,3623302281","0,1445407718"
Norway,"7,487999916","1,42420733","1,495172501","1,008071899","0,6702008843","0,2879850864","0,4341005683"
Netherlands,"7,448900223","1,338946342","1,463645935","0,9756753445","0,6136264801","0,336317569","0,3685697615"
Sweden,"7,353499889","1,322235227","1,433347702","0,9864704609","0,6502977014","0,2728278935","0,4420663714"
New Zealand,"7,299600124","1,242317915","1,48721838","1,008138299","0,6467899084","0,3257262111","0,461268276"
Austria,"7,294199944","1,317285538","1,437444925","1,000933528","0,6033688784","0,255509764","0,2812561393"
Luxembourg,"7,237500191","1,536676049","1,387528419","0,9864426851","0,6101370454","0,1959539205","0,3670414686"
Canada,"7,23210001","1,301647663","1,435391903","1,022501945","0,6440281272","0,2815289199","0,3517018557"
Australia,"7,222799778","1,310396433","1,477146268","1,022607684","0,6218771935","0,324973613","0,3359964192"
United Kingdom,"7,164500237","1,273061037","1,457844973","0,9757000804","0,5251686573","0,3734334409","0,3226016462"
Israel,"7,128600121","1,216463685","1,403256774","1,008052945","0,4206994772","0,2668617964","0,09989845008"
Costa Rica,"7,121399879","0,9811077118","1,374853611","0,9396353364","0,6450177431","0,1312663108","0,0963620916"
Ireland,"7,093699932","1,446886778","1,470596433","0,9756706953","0,5877799392","0,2954269946","0,3734332621"
Germany,"7,075799942","1,314184546","1,368543744","0,9721148014","0,5642741323","0,252037704","0,3093622923"
United States,"6,939599991","1,37398684","1,404786706","0,831618011","0,5346082449","0,298143059","0,1522847414"
Czech Republic,"6,910900116","1,212322354","1,40528667","0,8945644498","0,5057445765","0,04632592946","0,04980322346"
Belgium,"6,863500118","1,295842767","1,398677588","0,9649011493","0,4998054206","0,1469661593","0,2087240517"
United Arab Emirates,"6,790800095","1,431086421","1,251170993","0,7878144383","0,652936101","0,2806559801","0,2202135175"
Malta,"6,772799969","1,252513289","1,442956924","0,9720420241","0,6332390308","0,3411808312","0,1788640767"
France,"6,663799763","1,268129349","1,458839178","1,029714227","0,5140509009","0,1126077026","0,2273032367"
Mexico,"6,465000153","1,024387479","1,226333499","0,8316010237","0,5538925529","0,0830944851","0,08313366771"
Taiwan Province of China,"6,45539999","1,327470541","1,357760668","0,8784379959","0,4494043887","0,1505987048","0,1315163523"
Uruguay,"6,440100193","1,071000457","1,425081134","0,856928885","0,5942670703","0,1321436912","0,1934250742"
Saudi Arabia,"6,406499863","1,334328532","1,309950113","0,7598181367","0,5484774709","0,08744068444","0,1633223146"
Spain,"6,400899887","1,230535269","1,421099186","1,051343083","0,4259838164","0,1653054804","0,1095797792"
Guatemala,"6,398900032","0,7538157105","1,174267054","0,7059525847","0,6131467223","0,1706116647","0,09836030006"
Italy,"6,38740015","1,236396074","1,347296","1,022504926","0,321305573","0,170266211","0,04014559835"
Singapore,"6,377099991","1,519580126","1,39545691","1,137814283","0,6353172064","0,2187709063","0,5331622362"
Brazil,"6,375599861","0,9526798725","1,363464117","0,7661190629","0,4832927287","0,1316745877","0,1065186039"
Slovenia,"6,363399982","1,208652496","1,464677691","0,9325480461","0,6467001438","0,1457014978","0,07651632279"
El Salvador,"6,34829998","0,7489404082","1,149397612","0,7527300119","0,5240439177","0,1189363003","0,1170303524"
Kosovo,"6,325200081","0,8404813409","1,183962822","0,672709167","0,5572804213","0,3252868652","0,008559023961"
Panama,"6,304800034","1,097667813","1,376149297","0,878546536","0,5798497796","0,09720730782","0,05423052609"
Slovakia,"6,280600071","1,194837689","1,424331188","0,8534652591","0,4235425293","0,1167297736","0,01129144058"
Uzbekistan,"6,257599831","0,6966529489","1,434020042","0,7167037129","0,6932703257","0,3633110225","0,2802602649"
Chile,"6,228499889","1,096992493","1,323286891","0,8892608285","0,4174822271","0,1555790007","0,06284935027"
Bahrain,"6,227300167","1,296692252","1,31532371","0,8388363719","0,6103999019","0,287453711","0,1266972572"
Lithuania,"6,215499878","1,193559647","1,432865739","0,7954211831","0,4204607904","0,05369104072","0,08135027438"
Trinidad and Tobago,"6,191899776","1,167641521","1,407326221","0,6588285565","0,5529311299","0,1993582547","0,01507839561"
Poland,"6,186299801","1,16922915","1,310399771","0,8680384755","0,5579035282","0,06337424368","0,1605412513"
Colombia,"6,163400173","0,9322037101","1,33445096","0,8100201488","0,5268900394","0,09237409383","0,0458483696"
Cyprus,"6,15899992","1,21279943","1,149170756","1,026124597","0,4593858719","0,2279323339","0,05120714381"
Nicaragua,"6,13710022","0,620033145","1,27081275","0,8030932546","0,5601173043","0,212871477","0,174084574"
Romania,"6,123700142","1,120401621","1,1944381","0,7922948599","0,5348523259","0,06818161905","0,0008295688313"
Kuwait,"6,102099895","1,424833655","1,244779825","0,7764689326","0,5702614188","0,1327510923","0,1128149331"
Mauritius,"6,101299763","1,07366395","1,395666838","0,7633894086","0,5908381343","0,1868945509","0,08408822864"
Kazakhstan,"6,057899952","1,122594237","1,453267694","0,6987889409","0,4974321425","0,1537137926","0,1104636863"
Estonia,"6,021800041","1,192441225","1,453232527","0,8426150084","0,5766648054","0,125136748","0,2017668188"
Philippines,"6,006000042","0,7751206756","1,245381713","0,6021894813","0,6219151616","0,1292602122","0,1303857267"
Hungary,"6,000400066","1,164307117","1,423009396","0,8067938685","0,3864018023","0,07049123943","0,02754817344"
Thailand,"5,998799801","1,007029295","1,347519517","0,7938558459","0,6094498038","0,3767090142","0,03183786198"
Argentina,"5,974699974","1,028465629","1,372543693","0,849773705","0,5208403468","0,07010047138","0,06041505933"
Honduras,"5,953199863","0,5987635851","1,186664104","0,7919899821","0,5681480765","0,2565281987","0,08680710196"
Latvia,"5,949999809","1,14139545","1,414398789","0,7779024243","0,3291988075","0,07540794462","0,09039152414"
Ecuador,"5,925199986","0,8533836007","1,221027613","0,8388377428","0,5552345514","0,1150064766","0,08675338328"
Portugal,"5,910900116","1,168800831","1,339530349","0,9793152809","0,5898951888","0,0530369468","0,02773346566"
Jamaica,"5,889800072","0,7790583968","1,408289194","0,7884340882","0,5531246066","0,1162684932","0,03014778532"
South Korea,"5,872399807","1,245300651","1,133560538","1,022542596","0,2593563497","0,1703038663","0,09459628165"
Japan,"5,870800018","1,26672411","1,332338691","1,072881341","0,4954658747","0,03571178019","0,1814396381"
Peru,"5,796800137","0,91854918","1,208405972","0,8244441748","0,5132100582","0,09161181748","0,02703266032"
Serbia,"5,77820015","0,9881818295","1,327448964","0,8284032941","0,3954284191","0,1502828896","0,05944714695"
Bolivia,"5,747499943","0,7309763432","1,142350554","0,6624456644","0,5744645","0,1383750737","0,07294263691"
Pakistan,"5,69329977","0,6167994738","0,8729795814","0,4699332416","0,4054217339","0,2287050635","0,1225921214"
Paraguay,"5,692100048","0,8979908228","1,36819756","0,7358696461","0,5865100622","0,2042992413","0,06507737935"
Dominican Republic,"5,689199924","0,9831918478","1,328888893","0,7419016957","0,5628738999","0,1121967807","0,1159456819"
Bosnia and Herzegovina,"5,674099922","0,9183954597","1,203986526","0,8139281869","0,3053657413","0,2640052438","0,001172487042"
Moldova,"5,607500076","0,7079167962","1,237312198","0,7132994533","0,3895714879","0,1740491837","0,01437874418"
Tajikistan,"5,555699825","0,4748746157","1,218377709","0,6805948019","0,5211411715","0,1824171245","0,2217799127"
Montenegro,"5,54610014","1,010150075","1,265657902","0,8390288949","0,3032238483","0,1490103304","0,09843511134"
Russia,"5,546000004","1,126999617","1,378644109","0,6804459095","0,3994995952","0,09904191643","0,04569936171"
Kyrgyzstan,"5,541500092","0,5131809711","1,341036677","0,6806458831","0,6146177649","0,3013707399","0,03046669066"
Belarus,"5,539899826","1,018854499","1,38713932","0,7525885701","0,290755868","0,08993306011","0,1936074346"
North Cyprus,"5,53550005","1,21279943","1,183089137","1,026124597","0,4778857231","0,1991600543","0,1998029053"
Greece,"5,514999866","1,128070116","1,168973565","0,9794317484","0,173516348",0,"0,04884435236"
Hong Kong S.A.R. of China,"5,510399818","1,376746058","1,243584275","1,136630654","0,4593565166","0,2882809043","0,3324854374"
Croatia,"5,504700184","1,109024286","1,311264873","0,9005755782","0,3814568818","0,1139989793","0,01232500561"
Libya,"5,488800049","1,021913767","1,196283698","0,6156266332","0,4513540566","0,1427576989","0,1722580791"
Mongolia,"5,456200123","0,9048727751","1,458930612","0,6157881618","0,3557031155","0,2638857365","0,04653312638"
Malaysia,"5,384300232","1,168421626","1,17400229","0,7885118723","0,5969415307","0,2748861611","0,06216313317"
Vietnam,"5,353499889","0,718092382","1,253074765","0,819133997","0,6508355737","0,1364887208","0,08984845877"
Indonesia,"5,285600185","0,8917207122","1,154800892","0,6104370356","0,568161428","0,5426465273","0,03827861324"
Ivory Coast,"5,233300209","0,5370944142","0,7997272611","0,1549425125","0,3971225321","0,1699155867","0,09349579364"
Benin,"5,21600008","0,3662447035","0,3524284363","0,3280629516","0,4058398902","0,1966704279","0,1259318739"
Maldives,"5,197599888","0,9378643036","1,402287602","0,914439559","0,5482036471","0,224198252","0,07190649211"
Congo (Brazzaville),"5,194399834","0,6336167455","0,7576360106","0,4581011236","0,3865143955","0,1172160134","0,1186707839"
Azerbaijan,"5,164800167","0,9902727008","1,180613041","0,731134057","0,4677347243","0,0401132144","0,2473071814"
Macedonia,"5,159800053","0,935371995","1,183173537","0,802994132","0,4102245867","0,1858635396","0,02459505945"
Ghana,"5,147999763","0,5758624673","0,96636796","0,432162255","0,4772900641","0,2612912059","0,05657038093"
Nepal,"5,137199879","0,4440503716","1,100789309","0,6688793898","0,4806082547","0,300971806","0,1275029629"
Turkey,"5,131800175","1,127169251","1,197159171","0,7813352942","0,2544007599","0,08588556945","0,120983243"
China,"5,123899937","0,9905334115","1,132080674","0,8672485352","0,6016051173","0,07902104408","0,1172555536"
Turkmenistan,"5,119100094","1,008963585","1,510476947","0,6124480367","0,5152366757","0,3231293261","0,03350389004"
Bulgaria,"5,101500034","1,046554685","1,460578918","0,777776897","0,4178200662","0,1038337126",0
Morocco,"5,094799995","0,7586221099","0,645208478","0,7450969219","0,4500541389","0,04003255069","0,07738560438"
Cameroon,"5,084899902","0,5039580464","0,8997264504","0,2701895535","0,4392424822","0,1980201006","0,05439342186"
Venezuela,"5,053199768","0,7702386379","1,348546863","0,7670255303","0,2717172205","0,08717915416","0,0636247769"
Algeria,"5,005099773","0,9438560009","1,143003583","0,7454185486","0,08394379914","0,118915014","0,1291906536"
Senegal,"4,980800152","0,5040618181","0,95459342","0,5183919072","0,3524008989","0,1643971354","0,08186593652"
Guinea,"4,949299812","0,3900077343","0,7513659596","0,3336552382","0,3718780577","0,2494908422","0,1122045591"
Niger,"4,909599781","0,1083303317","0,7038001418","0,2988163531","0,4353116155","0,208176896","0,1375547647"
Laos,"4,888599873","0,7146938443","0,9873918891","0,4863782823","0,6120272875","0,27266711","0,1942739636"
Albania,"4,882699966","0,9066530466","0,8304839134","0,8463296294","0,4619458914","0,1710277647","0,02536128461"
Cambodia,"4,848400116","0,5446349382","1,071426034","0,5879043341","0,6749403477","0,2333420813","0,07283750176"
Bangladesh,"4,832799911","0,5561562777","0,8688005805","0,6949405074","0,6041305661","0,1767451167","0,1767359078"
Gabon,"4,829299927","0,9880443811","1,10639751","0,522574842","0,3694598973","0,05201360211","0,05580453947"
South Africa,"4,814099789","0,9021404386","1,259086251","0,4070340693","0,4347818196","0,1264068484","0,05950213969"
Iraq,"4,784800053","0,9820187092","1,011466622","0,529350698","0,2835880518","0,1530020684","0,07316499203"
Lebanon,"4,771500111","0,8892325163","1,19249332","0,7886711359","0,1855166703","0,1585241407","0,02151814662"
Burkina Faso,"4,768700123","0,3024676442","0,9293859005","0,3128338754","0,3223981559","0,1863906085","0,1264080554"
Gambia,"4,750599861","0,2569905519","0,8826786876","0,3532478809","0,4034195244","0,4259896874","0,1580937952"
Mali,"4,729300022","0,3524626493","0,9731417298","0,234981522","0,3775344491","0,1696670502","0,06214627624"
Nigeria,"4,724100113","0,6459018588","0,9867179394","0,167835936","0,4350794554","0,2213281244","0,04758993536"
Armenia,"4,676799774","0,8082624078","1,034576893","0,7758572698","0,3780758083","0,1072257385","0,1046181843"
Georgia,"4,672599792","0,8471980691","0,7311939001","0,6946576238","0,485494107","0,04760973528","0,1740880758"
Iran,"4,672399998","1,029322505","0,8862711787","0,7490538359","0,3011954725","0,2769789398","0,1426515132"
Jordan,"4,633399963","0,7851791978","1,140118599","0,7776247263","0,4248550832","0,09149476886","0,1518786252"
Mozambique,"4,623600006","0,1787413657","0,9552028775","0,3242236376","0,5607753396","0,220422104","0,1630643159"
Kenya,"4,583000183","0,476413399","0,9050777555","0,5363127589","0,5191805363","0,3939020932","0,06720107794"
Namibia,"4,571100235","0,8400819898","1,245738149","0,4068711698","0,4445989728","0,07645448297","0,05432034284"
